ts	phase	decision	why	evidence	result
2026-09-07T10:02:31Z	release	use the `pinapod/v*` namespace for new releases while retaining old tags as history	the repository and canonical API are Pinapod/PinaPod; the inherited `pina/v*` identity was misleading	monochange group custom format and publish/docs/release workflows	monochange validation passed
2026-09-07T10:02:31Z	verification	validate release metadata and workflow hardening after namespace/docs changes	the publication path must be executable and auditable before the code release	monochange step validate; security:zizmor; git diff --check	passed with no zizmor findings
2026-09-07T11:12:00Z	ci	keep the GitHub.com `$/.github/actions/devenv` self-repository reference despite local actionlint rejection	GitHub introduced and recommends this syntax on 2026-07-30; the installed actionlint parser only recognizes the older `./` form	GitHub workflow syntax and changelog; zizmor self-repository audit	current GitHub syntax retained; stale local parser limitation documented
2026-09-07T12:00:00Z	safety	replace public compact mutable views with generated patches and hide all raw metadata	same-module construction and mutation of generated view internals could bypass validation and corrupt tail offsets	compact privacy trybuild fixtures; compact_backend under Miri	27 compact Miri tests and 27 native tests passed
2026-09-07T12:00:00Z	safety	discard cached raw tail destinations across mutable prefix writes	Stacked Borrows invalidated the cached pointer when the same buffer was mutably reborrowed	compact_optional_dynamic_tails_store_only_active_payloads under Miri	Miri failure reproduced and fixed; full compact suite passed
2026-09-07T12:00:00Z	api	generate compact patches as the sole public mutation plan	one borrowed patch can preflight size, survive account reallocation, and apply atomically without exposing intermediate invalid bytes	PinaPodPatch and generated JournalPatch-style APIs	implemented and native contract tests passed
2026-09-07T12:00:00Z	docs	publish an mdBook and reject stale Rust API documentation	PinaPod needs a discoverable guide and migration contract equivalent to Pina's documentation site	docs-pages workflow; mdbook build; cargo doc with -D warnings	publication workflow added and local documentation verification passed
2026-09-07T13:00:00Z	safety	decode eight-byte fixed-container prefixes with checked usize conversion	u64-to-usize truncation let malformed fixed String and Vec prefixes validate as empty values on 32-bit clients	fixed PFX=8 validation regression and i686 CI job	checked conversion implemented; native focused tests passed; 32-bit execution assigned to CI
2026-09-07T13:00:00Z	api	replace ExactSizeIterator container setters with slice-like inputs	a dishonest iterator could report an error after partially mutating an existing vector; slices, arrays, and standard vectors provide an exact length before mutation	PodVec try_set/try_extend atomic overflow regression	implemented; focused native tests passed
2026-09-07T13:00:00Z	ci	verify Rust 1.89 MSRV and execute fixed-prefix regressions on i686	the published compatibility and portable validation contracts need continuous enforcement	ci msrv and i686 jobs	workflow added; MSRV previously passed locally; i686 awaits hosted runner
2026-09-07T12:14:11Z	api	encode Vec<String<M>, N> as a fixed-stride compact tail with independently validated element prefixes	this supports the user-approved bounded nesting case without allowing arbitrary dynamic nesting	compact_string_vectors_are_fixed_stride_and_validate_each_string	native and Miri compact suites passed
2026-09-07T12:14:11Z	performance	remove duplicate validation from compact struct Patch updates	updated_len already validates the unchanged buffer before the private unchecked writer is constructed	compact invalid-buffer atomicity regression; native and Miri suites	implemented; final latency measurement pending hosted benchmark
2026-09-07T12:14:11Z	performance	publish final three-way timings only from one GitHub-hosted pull-request run	nanosecond-scale local results became invalid when unrelated CPU-intensive jobs shared the host	exact pinned revisions; --locked Criterion job; target/criterion artifact	workflow added; authoritative v0.2 figures pending first matching PR run
2026-09-07T12:14:11Z	performance	treat exact wire-byte counts as the only standalone SBF-relevant metric	PinaPod does not own the Solana account borrow, resize, and CPI lifecycle needed for a valid compute-unit measurement	fixed and compact wire parity; tail scaling 1/4/8/16	host latency, allocations, object sizes, and wire bytes covered; downstream Pina owns SBF CU regression
2026-09-07T12:14:11Z	portability	constrain optional solana-program-error to v3 and disable default features	v2.2.2 unconditionally enabled solana-instruction std and reached solana-sanitize and atomic-u64 during a bpfel build	Pina compact_accounts SBF build failure	manifest aligned with Pina's v3 dependency; downstream SBF assessment reported
2026-09-07T14:00:00Z	verification	complete the pre-PR PinaPod quality and publication gates	the breaking release must prove native behavior, Miri safety, no-std portability, MSRV compatibility, documentation integrity, dependency security, and release metadata before review	devenv shell test:all; test:miri; lint:all; verify:security; verify:docs; build:no-default; cargo +1.89.0 check; monochange check/preview; cargo package -p pinapod-derive	passed; release preview resolves pinapod and pinapod-derive 0.2.0
